id,titulo,autor,precio,idEditorial
1,Oyope,Calley Sandison,49.01,5
2,Photofeed,Kacy Shewry,595.95,5
3,Wikivu,Andres Wistance,360.05,4
4,Bubblebox,Olly Dando,659.85,6
5,Skimia,Aviva Barnwille,989.05,1
6,Brainbox,Joanie Jencken,908.34,2
7,Trupe,Walsh Polak,222.12,1
8,Zoovu,Trumann Hayen,229.78,3
9,Shuffletag,Betteann Ingry,65.21,5
10,Wordware,Stacy Blanque,886.87,1
11,Topicblab,Rani Birkenshaw,706.27,4
12,Myworks,Dell Auchinleck,482.6,2
13,Divavu,Mathew Skillett,437.75,3
14,Innojam,Roi Craydon,409.02,6
15,Kazio,Walton Brindle,618.94,3
16,Dabtype,Kathryne Lecordier,462.23,2
17,Mita,Erl Burnapp,111.35,2
18,Meevee,Samuel Le Blond,229.62,6
19,Dablist,Ezri Castellucci,815.78,3
20,Quinu,Mead Corder,248.41,5
21,Midel,Helene Jedraszczyk,298.11,1
22,Yakitri,Sephira Stamper,215.58,6
23,Zooxo,Valencia Clarey,384.51,3
24,Mycat,Denny Niave,173.0,5
25,Gigaclub,Wilhelmina Purslow,965.54,5
26,Rhycero,Brendon Windle,915.63,4
27,Avamm,Sisely Porter,1.04,2
28,Rhynoodle,Artus Beven,430.25,4
29,Meeveo,Leola Cattermole,309.53,5
30,Mynte,Emmaline Wadwell,930.97,4
31,Podcat,Langsdon Cuel,939.68,2
32,Skinix,Dimitri Van de Vlies,187.0,6
33,Skyndu,Lorry Dunstan,384.54,5
34,Yabox,Mischa Scogings,393.27,6
35,Zoovu,Sheryl Burfield,436.04,3
36,Skidoo,Sean Spinney,467.49,2
37,Linktype,Cullin Thorneley,949.75,4
38,Eamia,Dorotea Sheavills,952.71,2
39,Meejo,Ephrayim Malser,967.96,3
40,Feedspan,Kitty McMorran,975.15,3
41,Zoonoodle,Gerta Perrycost,293.25,3
42,Voomm,Natividad Sharville,38.16,2
43,Feedfish,Eada Leathers,579.16,4
44,Skimia,Audry Lyddon,630.59,3
45,Flipstorm,Ramonda Keoghane,327.22,3
46,Dynazzy,Giacopo Coppeard,824.87,3
47,Twimbo,Fulvia Deluze,199.14,2
48,Blognation,Hamid Beretta,205.57,3
49,Innojam,Ulrick Issacoff,481.59,5
50,Jaloo,Mignon Gallamore,44.39,6
51,Skiptube,Iris Scobbie,343.11,3
52,InnoZ,Trina O'Crevy,852.7,5
53,Twinte,Umeko Cowen,321.62,5
54,Vipe,Fitz Kellie,660.42,4
55,Flipbug,Shalom Sconce,161.47,1
56,Yakijo,Arlan Schuster,589.55,1
57,Feedspan,Durant Frizell,948.32,4
58,Tekfly,Reiko Kilfedder,258.36,6
59,Trupe,Meier O'Cannon,89.87,6
60,Zoonoodle,Gil Hubane,744.29,1
61,Tazzy,Judd Trasler,618.82,2
62,Trunyx,Broderick Raubenheim,65.46,3
63,Shuffletag,Robers Tidcombe,199.06,3
64,Linkbuzz,Graehme Ledekker,230.26,2
65,Twitterwire,Nari Rikel,100.96,6
66,Jayo,Ring Hickin,802.28,1
67,Skiptube,Daron Barehead,275.95,2
68,Devbug,Fonzie Pollack,414.3,4
69,Yakidoo,Bertine Troppmann,33.5,4
70,Feedbug,Keir Catonnet,514.96,3
71,Avamba,Fabiano Wedmore.,25.21,5
72,Fiveclub,Torrence Haward,342.29,3
73,Linktype,Gris Humbee,326.54,2
74,Kazio,Pren Reckus,841.26,2
75,Photofeed,Hedi Weymont,962.09,4
76,Zoovu,Lynn Comport,451.94,1
77,Edgeify,Brodie Strooband,655.84,5
78,Topdrive,Kaitlyn Lucock,396.29,2
79,Mycat,Ellissa Watterson,584.84,5
80,Dabfeed,Hilliard Philcott,358.79,5
81,Rhyloo,Leupold Bourthoumieux,576.71,5
82,Skyble,Adriane Mickleborough,882.79,4
83,Digitube,Tamqrah Florez,431.92,5
84,Brightbean,Stacey Paulich,138.41,1
85,Pixoboo,Yard Wennam,570.82,3
86,Twitterbeat,Dyana Coytes,348.1,5
87,Meemm,Zelig Mangin,779.83,5
88,Thoughtbeat,Irina Rowett,687.92,6
89,Yodo,Isacco Dincke,49.26,5
90,Thoughtblab,Cthrine Zum Felde,751.62,6
91,Realcube,Sholom Douthwaite,821.84,5
92,Yacero,Janeva Bullan,357.98,4
93,Jaxworks,Phylis Di Iorio,608.66,1
94,Bubbletube,Brendis Koch,667.38,4
95,Latz,Constance Dwyer,949.82,1
96,Eazzy,Harlen Yannoni,452.34,3
97,Feedbug,Alisa Mabbe,706.3,6
98,Buzzdog,Cherilyn Cooke,602.11,2
99,Jamia,Nata Deinert,335.42,5
100,Linkbuzz,Anton Nenci,30.57,2
101,Chatterbridge,Ingaberg Barbary,369.73,4
102,Geba,Elysia Mapples,636.9,5
103,Mynte,Weidar Labb,142.65,1
104,Tagtune,Carine Hartshorn,58.81,2
105,Jaxworks,Shelia Canet,181.1,6
106,Youspan,Avrom Pyrton,710.59,6
107,Agimba,Burty Pennetti,877.79,5
108,Riffpath,Margery Marcu,733.57,3
109,Gabcube,Fields Denisard,166.28,4
110,Centizu,Cassi Portman,551.02,3
111,Brainsphere,Osbourne Gange,426.38,5
112,Zoomlounge,Nelle Petschelt,553.92,1
113,Thoughtmix,Meara Sukbhans,442.55,1
114,Flashset,Selina Boynes,810.77,1
115,Quinu,Lem Dignum,216.18,6
116,Wikivu,Tallia Rippingale,878.8,2
117,Jabbersphere,Mozes Paul,406.63,2
118,Vipe,Christie Singleton,54.72,5
119,Linkbuzz,Kary Fitzmaurice,187.81,1
120,Bubblebox,Vernice Mc-Kerley,74.15,1
